Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
Shriram Hebbal Generic Search Campaign,2024-03-12,20980178071,10000.00,8,155,INR,183.72,5.16%,22.97,0.00
Inspira Tropical Garden Brand Keywords,2024-03-12,21015668604,8100.00,3,40,INR,174.56,7.50%,58.19,0.00
Shriram Hebbal - Brand Search,2024-03-12,21048683503,3000.00,15,45,INR,1700.78,33.33%,113.39,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-13,19805351172,13000.00,22,84,INR,558.39,26.19%,25.38,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-13,20039018782,6000.00,4,18,INR,404.60,22.22%,101.15,0.00
Shriram Hebbal Generic Search Campaign,2024-03-13,20980178071,10000.00,7,126,INR,122.51,5.56%,17.50,1.00
Inspira Tropical Garden Brand Keywords,2024-03-13,21015668604,8100.00,3,39,INR,244.51,7.69%,81.50,0.00
Primus Search - 17th Feb 2024,2024-03-13,21023972292,3500.00,0,2,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-13,21048683503,3000.00,10,42,INR,1088.49,23.81%,108.85,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-14,19805351172,13000.00,8,69,INR,394.56,11.59%,49.32,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-14,20039018782,6000.00,4,8,INR,914.61,50.00%,228.65,0.00
Shriram Hebbal Generic Search Campaign,2024-03-14,20980178071,10000.00,10,142,INR,263.78,7.04%,26.38,0.00
Inspira Tropical Garden Brand Keywords,2024-03-14,21015668604,8100.00,3,28,INR,436.72,10.71%,145.57,0.00
Shriram Hebbal - Brand Search,2024-03-14,21048683503,3000.00,20,44,INR,2229.46,45.45%,111.47,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-15,19805351172,13000.00,7,73,INR,201.72,9.59%,28.82,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-15,20039018782,6000.00,6,16,INR,180.28,37.50%,30.05,0.00
Shriram Hebbal Generic Search Campaign,2024-03-15,20980178071,10000.00,9,78,INR,238.80,11.54%,26.53,0.00
Inspira Tropical Garden Brand Keywords,2024-03-15,21015668604,8100.00,2,39,INR,50.34,5.13%,25.17,0.00
Primus Search - 17th Feb 2024,2024-03-15,21023972292,3500.00,0,0,INR,0.00,0,0,0.00
Shriram Hebbal - Brand Search,2024-03-15,21048683503,3000.00,18,66,INR,1097.08,27.27%,60.95,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-16,19805351172,13000.00,10,57,INR,363.60,17.54%,36.36,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-16,20039018782,6000.00,9,17,INR,412.10,52.94%,45.79,0.00
Shriram Hebbal Generic Search Campaign,2024-03-16,20980178071,10000.00,8,110,INR,189.23,7.27%,23.65,0.00
Inspira Tropical Garden Brand Keywords,2024-03-16,21015668604,8100.00,1,34,INR,168.62,2.94%,168.62,0.00
Primus Search - 17th Feb 2024,2024-03-16,21023972292,3500.00,1,2,INR,31.77,50.00%,31.77,0.00
Shriram Hebbal - Brand Search,2024-03-16,21048683503,3000.00,19,61,INR,2006.41,31.15%,105.60,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-17,19805351172,13000.00,6,53,INR,247.97,11.32%,41.33,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-17,20039018782,6000.00,6,26,INR,137.11,23.08%,22.85,0.00
Shriram Hebbal Generic Search Campaign,2024-03-17,20980178071,10000.00,12,167,INR,243.40,7.19%,20.28,3.00
Inspira Tropical Garden Brand Keywords,2024-03-17,21015668604,8100.00,7,50,INR,1546.99,14.00%,221.00,0.00
Primus Search - 17th Feb 2024,2024-03-17,21023972292,3500.00,1,1,INR,49.42,100.00%,49.42,0.00
Shriram Hebbal - Brand Search,2024-03-17,21048683503,3000.00,21,67,INR,2114.09,31.34%,100.67,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-18,19805351172,13000.00,7,59,INR,275.96,11.86%,39.42,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-18,20039018782,6000.00,5,11,INR,62.89,45.45%,12.58,0.00
Shriram Hebbal Generic Search Campaign,2024-03-18,20980178071,10000.00,5,99,INR,65.72,5.05%,13.14,1.00
Inspira Tropical Garden Brand Keywords,2024-03-18,21015668604,8100.00,8,32,INR,283.28,25.00%,35.41,0.00
Primus Search - 17th Feb 2024,2024-03-18,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-18,21048683503,3000.00,20,58,INR,2513.37,34.48%,125.67,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-19,19805351172,13000.00,14,71,INR,475.13,19.72%,33.94,4.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-19,20039018782,6000.00,4,9,INR,15.00,44.44%,3.75,0.00
Shriram Hebbal Generic Search Campaign,2024-03-19,20980178071,10000.00,5,93,INR,82.25,5.38%,16.45,1.00
Inspira Tropical Garden Brand Keywords,2024-03-19,21015668604,8100.00,6,25,INR,119.90,24.00%,19.98,0.00
Primus Search - 17th Feb 2024,2024-03-19,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-19,21048683503,3000.00,11,55,INR,1137.28,20.00%,103.39,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-20,19805351172,13000.00,15,75,INR,423.82,20.00%,28.25,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-20,20039018782,6000.00,2,11,INR,109.89,18.18%,54.95,0.00
Shriram Hebbal Generic Search Campaign,2024-03-20,20980178071,10000.00,3,98,INR,39.20,3.06%,13.07,2.00
Inspira Tropical Garden Brand Keywords,2024-03-20,21015668604,8100.00,11,33,INR,151.45,33.33%,13.77,0.00
Primus Search - 17th Feb 2024,2024-03-20,21023972292,3500.00,0,2,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-20,21048683503,3000.00,26,56,INR,2637.61,46.43%,101.45,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-21,19805351172,13000.00,14,85,INR,369.23,16.47%,26.37,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-21,20039018782,6000.00,7,24,INR,607.46,29.17%,86.78,0.00
Shriram Hebbal Generic Search Campaign,2024-03-21,20980178071,10000.00,3,110,INR,44.40,2.73%,14.80,0.00
Inspira Tropical Garden Brand Keywords,2024-03-21,21015668604,8100.00,3,21,INR,65.22,14.29%,21.74,0.00
Shriram Hebbal - Brand Search,2024-03-21,21048683503,3000.00,18,66,INR,1239.17,27.27%,68.84,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-22,19805351172,13000.00,22,136,INR,884.51,16.18%,40.20,4.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-22,20039018782,6000.00,4,10,INR,564.92,40.00%,141.23,0.00
Shriram Hebbal Generic Search Campaign,2024-03-22,20980178071,10000.00,6,106,INR,97.46,5.66%,16.24,2.00
Inspira Tropical Garden Brand Keywords,2024-03-22,21015668604,8100.00,4,21,INR,86.87,19.05%,21.72,0.00
Primus Search - 17th Feb 2024,2024-03-22,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-22,21048683503,3000.00,21,63,INR,3727.18,33.33%,177.48,4.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-23,19805351172,13000.00,23,155,INR,793.56,14.84%,34.50,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-23,20039018782,6000.00,3,12,INR,522.31,25.00%,174.10,0.00
Shriram Hebbal Generic Search Campaign,2024-03-23,20980178071,10000.00,11,122,INR,298.04,9.02%,27.09,0.00
Inspira Tropical Garden Brand Keywords,2024-03-23,21015668604,8100.00,10,25,INR,194.04,40.00%,19.40,0.00
Shriram Hebbal - Brand Search,2024-03-23,21048683503,3000.00,19,66,INR,1598.54,28.79%,84.13,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-24,19805351172,13000.00,19,116,INR,708.51,16.38%,37.29,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-24,20039018782,6000.00,7,12,INR,982.42,58.33%,140.35,0.00
Shriram Hebbal Generic Search Campaign,2024-03-24,20980178071,10000.00,18,124,INR,488.41,14.52%,27.13,0.00
Inspira Tropical Garden Brand Keywords,2024-03-24,21015668604,8100.00,8,23,INR,167.91,34.78%,20.99,0.00
Primus Search - 17th Feb 2024,2024-03-24,21023972292,3500.00,1,3,INR,16.38,33.33%,16.38,0.00
Shriram Hebbal - Brand Search,2024-03-24,21048683503,3000.00,23,63,INR,2077.16,36.51%,90.31,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-25,19805351172,13000.00,17,129,INR,587.37,13.18%,34.55,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-25,20039018782,6000.00,5,14,INR,352.09,35.71%,70.42,0.00
Shriram Hebbal Generic Search Campaign,2024-03-25,20980178071,10000.00,9,179,INR,193.53,5.03%,21.50,0.00
Inspira Tropical Garden Brand Keywords,2024-03-25,21015668604,8100.00,8,34,INR,260.96,23.53%,32.62,0.00
Shriram Hebbal - Brand Search,2024-03-25,21048683503,3000.00,35,76,INR,2960.63,46.05%,84.59,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-26,19805351172,13000.00,20,125,INR,533.17,16.00%,26.66,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-26,20039018782,6000.00,5,17,INR,119.12,29.41%,23.82,0.00
Shriram Hebbal Generic Search Campaign,2024-03-26,20980178071,10000.00,14,170,INR,382.22,8.24%,27.30,0.00
Inspira Tropical Garden Brand Keywords,2024-03-26,21015668604,8100.00,9,28,INR,208.09,32.14%,23.12,0.00
Primus Search - 17th Feb 2024,2024-03-26,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-26,21048683503,3000.00,20,76,INR,3203.35,26.32%,160.17,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-27,19805351172,13000.00,13,103,INR,594.08,12.62%,45.70,2.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-27,20039018782,6000.00,4,9,INR,781.62,44.44%,195.41,0.00
Shriram Hebbal Generic Search Campaign,2024-03-27,20980178071,10000.00,6,110,INR,159.36,5.45%,26.56,0.00
Inspira Tropical Garden Brand Keywords,2024-03-27,21015668604,8100.00,2,17,INR,17.34,11.76%,8.67,0.00
Primus Search - 17th Feb 2024,2024-03-27,21023972292,3500.00,1,2,INR,44.04,50.00%,44.04,0.00
Shriram Hebbal - Brand Search,2024-03-27,21048683503,3000.00,16,40,INR,1148.44,40.00%,71.78,4.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-28,19805351172,13000.00,7,66,INR,242.01,10.61%,34.57,1.50
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-28,20039018782,6000.00,3,14,INR,270.94,21.43%,90.31,0.00
Shriram Hebbal Generic Search Campaign,2024-03-28,20980178071,10000.00,5,41,INR,70.32,12.20%,14.06,2.00
Inspira Tropical Garden Brand Keywords,2024-03-28,21015668604,8100.00,1,13,INR,12.21,7.69%,12.21,0.00
Shriram Hebbal - Brand Search,2024-03-28,21048683503,3000.00,9,45,INR,627.53,20.00%,69.73,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-29,19805351172,13000.00,11,167,INR,385.10,6.59%,35.01,3.50
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-29,20039018782,6000.00,8,42,INR,2568.17,19.05%,321.02,0.00
Shriram Hebbal Generic Search Campaign,2024-03-29,20980178071,10000.00,14,160,INR,346.67,8.75%,24.76,0.00
Inspira Tropical Garden Brand Keywords,2024-03-29,21015668604,8100.00,4,22,INR,71.02,18.18%,17.76,0.00
Primus Search - 17th Feb 2024,2024-03-29,21023972292,3500.00,1,1,INR,47.60,100.00%,47.60,0.00
Shriram Hebbal - Brand Search,2024-03-29,21048683503,3000.00,14,53,INR,1453.52,26.42%,103.82,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-30,19805351172,13000.00,12,133,INR,430.18,9.02%,35.85,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-30,20039018782,6000.00,9,46,INR,2826.62,19.57%,314.07,0.00
Shriram Hebbal Generic Search Campaign,2024-03-30,20980178071,10000.00,18,203,INR,481.28,8.87%,26.74,1.00
Inspira Tropical Garden Brand Keywords,2024-03-30,21015668604,8100.00,3,23,INR,119.10,13.04%,39.70,0.00
Primus Search - 17th Feb 2024,2024-03-30,21023972292,3500.00,1,1,INR,59.29,100.00%,59.29,0.00
Shriram Hebbal - Brand Search,2024-03-30,21048683503,3000.00,22,76,INR,1810.71,28.95%,82.31,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-03-31,19805351172,13000.00,31,184,INR,1240.45,16.85%,40.01,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-03-31,20039018782,6000.00,13,49,INR,3645.60,26.53%,280.43,0.00
Shriram Hebbal Generic Search Campaign,2024-03-31,20980178071,10000.00,24,270,INR,753.61,8.89%,31.40,3.00
Inspira Tropical Garden Brand Keywords,2024-03-31,21015668604,8100.00,6,38,INR,136.31,15.79%,22.72,0.00
Primus Search - 17th Feb 2024,2024-03-31,21023972292,3500.00,0,4,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-03-31,21048683503,3000.00,26,74,INR,2837.22,35.14%,109.12,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-01,19805351172,13000.00,24,191,INR,836.51,12.57%,34.85,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-01,20039018782,6000.00,7,67,INR,1246.60,10.45%,178.09,0.00
Shriram Hebbal Generic Search Campaign,2024-04-01,20980178071,10000.00,20,284,INR,521.15,7.04%,26.06,2.00
Inspira Tropical Garden Brand Keywords,2024-04-01,21015668604,8100.00,6,34,INR,193.54,17.65%,32.26,0.00
Shriram Hebbal - Brand Search,2024-04-01,21048683503,3000.00,15,47,INR,1397.52,31.91%,93.17,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-02,19805351172,13000.00,16,161,INR,575.66,9.94%,35.98,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-02,20039018782,6000.00,17,76,INR,5939.45,22.37%,349.38,0.00
Shriram Hebbal Generic Search Campaign,2024-04-02,20980178071,10000.00,30,332,INR,808.23,9.04%,26.94,1.00
Inspira Tropical Garden Brand Keywords,2024-04-02,21015668604,8100.00,3,16,INR,52.48,18.75%,17.49,0.00
Primus Search - 17th Feb 2024,2024-04-02,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-04-02,21048683503,3000.00,14,54,INR,2961.78,25.93%,211.56,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-03,19805351172,13000.00,15,196,INR,569.35,7.65%,37.96,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-03,20039018782,6000.00,14,80,INR,4319.28,17.50%,308.52,0.00
Shriram Hebbal Generic Search Campaign,2024-04-03,20980178071,10000.00,12,322,INR,300.26,3.73%,25.02,1.00
Inspira Tropical Garden Brand Keywords,2024-04-03,21015668604,8100.00,0,24,INR,0.00,0.00%,0,0.00
Primus Search - 17th Feb 2024,2024-04-03,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-04-03,21048683503,3000.00,24,78,INR,3391.78,30.77%,141.32,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-04,19805351172,13000.00,29,215,INR,738.38,13.49%,25.46,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-04,20039018782,6000.00,16,102,INR,3544.99,15.69%,221.56,0.00
Shriram Hebbal Generic Search Campaign,2024-04-04,20980178071,10000.00,21,273,INR,596.23,7.69%,28.39,1.00
Inspira Tropical Garden Brand Keywords,2024-04-04,21015668604,8100.00,5,20,INR,39.15,25.00%,7.83,0.00
Shriram Hebbal - Brand Search,2024-04-04,21048683503,3000.00,22,59,INR,3717.15,37.29%,168.96,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-05,19805351172,13000.00,28,268,INR,1011.36,10.45%,36.12,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-05,20039018782,6000.00,14,110,INR,3244.60,12.73%,231.76,0.00
Shriram Hebbal Generic Search Campaign,2024-04-05,20980178071,10000.00,21,287,INR,507.11,7.32%,24.15,0.00
Inspira Tropical Garden Brand Keywords,2024-04-05,21015668604,8100.00,1,5,INR,8.95,20.00%,8.95,0.00
Shriram Hebbal - Brand Search,2024-04-05,21048683503,3000.00,16,69,INR,2406.03,23.19%,150.38,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-06,19805351172,13000.00,41,348,INR,1354.95,11.78%,33.05,2.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-06,20039018782,6000.00,12,168,INR,2893.56,7.14%,241.13,0.00
Shriram Hebbal Generic Search Campaign,2024-04-06,20980178071,10000.00,31,280,INR,832.16,11.07%,26.84,2.00
Inspira Tropical Garden Brand Keywords,2024-04-06,21015668604,8100.00,4,24,INR,68.59,16.67%,17.15,0.00
Shriram Hebbal - Brand Search,2024-04-06,21048683503,3000.00,14,59,INR,1944.72,23.73%,138.91,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-07,19805351172,13000.00,43,413,INR,1648.98,10.41%,38.35,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-07,20039018782,6000.00,13,201,INR,2810.81,6.47%,216.22,0.00
Shriram Hebbal Generic Search Campaign,2024-04-07,20980178071,10000.00,31,303,INR,745.88,10.23%,24.06,3.00
Inspira Tropical Garden Brand Keywords,2024-04-07,21015668604,8100.00,1,17,INR,31.05,5.88%,31.05,0.00
Primus Search - 17th Feb 2024,2024-04-07,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2024-04-07,21048683503,3000.00,19,49,INR,3247.46,38.78%,170.92,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-08,19805351172,13000.00,27,328,INR,1109.58,8.23%,41.10,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-08,20039018782,6000.00,18,135,INR,3563.62,13.33%,197.98,0.00
Shriram Hebbal Generic Search Campaign,2024-04-08,20980178071,10000.00,26,234,INR,718.01,11.11%,27.62,0.00
Inspira Tropical Garden Brand Keywords,2024-04-08,21015668604,8100.00,1,15,INR,11.26,6.67%,11.26,0.00
Primus Search - 17th Feb 2024,2024-04-08,21023972292,3500.00,0,0,INR,0.00,0,0,0.00
Shriram Hebbal - Brand Search,2024-04-08,21048683503,3000.00,19,61,INR,2850.68,31.15%,150.04,4.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-09,19805351172,13000.00,21,216,INR,778.78,9.72%,37.08,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-09,20039018782,6000.00,11,127,INR,2300.70,8.66%,209.15,0.00
Shriram Hebbal Generic Search Campaign,2024-04-09,20980178071,10000.00,16,194,INR,462.11,8.25%,28.88,0.00
Inspira Tropical Garden Brand Keywords,2024-04-09,21015668604,8100.00,3,17,INR,156.69,17.65%,52.23,0.00
Primus Search - 17th Feb 2024,2024-04-09,21023972292,3500.00,2,2,INR,37.20,100.00%,18.60,0.00
Shriram Hebbal - Brand Search,2024-04-09,21048683503,3000.00,21,52,INR,3271.27,40.38%,155.77,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-10,19805351172,13000.00,33,274,INR,1177.28,12.04%,35.68,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-10,20039018782,6000.00,10,150,INR,3027.59,6.67%,302.76,0.00
Shriram Hebbal Generic Search Campaign,2024-04-10,20980178071,10000.00,10,266,INR,267.99,3.76%,26.80,0.00
Inspira Tropical Garden Brand Keywords,2024-04-10,21015668604,8100.00,1,13,INR,20.22,7.69%,20.22,0.00
Shriram Hebbal - Brand Search,2024-04-10,21048683503,3000.00,14,48,INR,2795.74,29.17%,199.70,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-11,19805351172,13000.00,40,316,INR,1912.21,12.66%,47.81,3.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-11,20039018782,6000.00,14,108,INR,2976.67,12.96%,212.62,0.00
Shriram Hebbal Generic Search Campaign,2024-04-11,20980178071,10000.00,24,329,INR,749.92,7.29%,31.25,2.00
Inspira Tropical Garden Brand Keywords,2024-04-11,21015668604,8100.00,4,22,INR,124.16,18.18%,31.04,0.00
Shriram Hebbal - Brand Search,2024-04-11,21048683503,3000.00,25,68,INR,3244.79,36.76%,129.79,6.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-12,19805351172,13000.00,36,229,INR,1410.78,15.72%,39.19,2.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-12,20039018782,6000.00,13,148,INR,1905.64,8.78%,146.59,0.00
Shriram Hebbal Generic Search Campaign,2024-04-12,20980178071,10000.00,19,197,INR,614.40,9.64%,32.34,0.00
Inspira Tropical Garden Brand Keywords,2024-04-12,21015668604,8100.00,2,17,INR,78.24,11.76%,39.12,0.00
Shriram Hebbal - Brand Search,2024-04-12,21048683503,3000.00,17,75,INR,1614.30,22.67%,94.96,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-13,19805351172,13000.00,30,160,INR,1248.57,18.75%,41.62,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-13,20039018782,6000.00,13,160,INR,3094.43,8.13%,238.03,0.00
Shriram Hebbal Generic Search Campaign,2024-04-13,20980178071,10000.00,24,250,INR,583.60,9.60%,24.32,1.00
Inspira Tropical Garden Brand Keywords,2024-04-13,21015668604,8100.00,5,20,INR,241.39,25.00%,48.28,0.00
Primus Search - 17th Feb 2024,2024-04-13,21023972292,3500.00,0,0,INR,0.00,0,0,0.00
Shriram Hebbal - Brand Search,2024-04-13,21048683503,3000.00,12,48,INR,1515.36,25.00%,126.28,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-14,19805351172,13000.00,22,117,INR,473.26,18.80%,21.51,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-14,20039018782,6000.00,19,129,INR,3340.53,14.73%,175.82,0.00
Shriram Hebbal Generic Search Campaign,2024-04-14,20980178071,10000.00,30,299,INR,760.29,10.03%,25.34,1.00
Inspira Tropical Garden Brand Keywords,2024-04-14,21015668604,8100.00,2,15,INR,40.41,13.33%,20.21,0.00
Primus Search - 17th Feb 2024,2024-04-14,21023972292,3500.00,2,2,INR,135.46,100.00%,67.73,0.00
Shriram Hebbal - Brand Search,2024-04-14,21048683503,3000.00,14,45,INR,1757.65,31.11%,125.55,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-15,19805351172,13000.00,10,83,INR,270.73,12.05%,27.07,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-15,20039018782,6000.00,13,155,INR,3297.64,8.39%,253.66,0.00
Shriram Hebbal Generic Search Campaign,2024-04-15,20980178071,10000.00,20,244,INR,491.17,8.20%,24.56,1.00
Inspira Tropical Garden Brand Keywords,2024-04-15,21015668604,8100.00,2,16,INR,29.88,12.50%,14.94,0.00
Shriram Hebbal - Brand Search,2024-04-15,21048683503,3000.00,19,55,INR,1704.84,34.55%,89.73,3.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-16,19805351172,13000.00,17,74,INR,422.39,22.97%,24.85,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-16,20039018782,6000.00,17,185,INR,3256.29,9.19%,191.55,0.00
Shriram Hebbal Generic Search Campaign,2024-04-16,20980178071,10000.00,21,259,INR,577.44,8.11%,27.50,1.00
Inspira Tropical Garden Brand Keywords,2024-04-16,21015668604,8100.00,1,10,INR,9.00,10.00%,9.00,0.00
Shriram Hebbal - Brand Search,2024-04-16,21048683503,3000.00,6,41,INR,398.08,14.63%,66.35,1.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-17,19805351172,13000.00,10,52,INR,398.71,19.23%,39.87,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-17,20039018782,6000.00,15,204,INR,2635.83,7.35%,175.72,0.00
Shriram Hebbal Generic Search Campaign,2024-04-17,20980178071,10000.00,16,222,INR,642.49,7.21%,40.16,2.00
Inspira Tropical Garden Brand Keywords,2024-04-17,21015668604,8100.00,1,32,INR,48.75,3.13%,48.75,0.00
Shriram Hebbal - Brand Search,2024-04-17,21048683503,3000.00,9,50,INR,2065.67,18.00%,229.52,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-18,19805351172,13000.00,15,115,INR,440.60,13.04%,29.37,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-18,20039018782,6000.00,18,278,INR,2495.04,6.47%,138.61,0.00
Shriram Hebbal Generic Search Campaign,2024-04-18,20980178071,10000.00,16,253,INR,446.03,6.32%,27.88,0.00
Inspira Tropical Garden Brand Keywords,2024-04-18,21015668604,8100.00,5,29,INR,348.93,17.24%,69.79,0.00
Shriram Hebbal - Brand Search,2024-04-18,21048683503,3000.00,20,54,INR,4231.50,37.04%,211.58,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-19,19805351172,13000.00,9,71,INR,238.69,12.68%,26.52,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-19,20039018782,6000.00,16,179,INR,2995.42,8.94%,187.21,0.00
Shriram Hebbal Generic Search Campaign,2024-04-19,20980178071,10000.00,15,207,INR,492.83,7.25%,32.86,1.00
Inspira Tropical Garden Brand Keywords,2024-04-19,21015668604,8100.00,7,48,INR,813.98,14.58%,116.28,0.00
Shriram Hebbal - Brand Search,2024-04-19,21048683503,3000.00,13,53,INR,2038.34,24.53%,156.80,2.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-20,19805351172,13000.00,7,62,INR,224.96,11.29%,32.14,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-20,20039018782,6000.00,25,142,INR,3279.44,17.61%,131.18,0.00
Shriram Hebbal Generic Search Campaign,2024-04-20,20980178071,10000.00,30,262,INR,892.46,11.45%,29.75,1.00
Inspira Tropical Garden Brand Keywords,2024-04-20,21015668604,8100.00,1,39,INR,138.92,2.56%,138.92,0.00
Primus Search - 17th Feb 2024,2024-04-20,21023972292,3500.00,0,0,INR,0.00,0,0,0.00
Shriram Hebbal - Brand Search,2024-04-20,21048683503,3000.00,10,43,INR,1426.01,23.26%,142.60,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2024-04-21,19805351172,13000.00,10,84,INR,409.39,11.90%,40.94,1.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2024-04-21,20039018782,6000.00,15,191,INR,2208.65,7.85%,147.24,0.00
Shriram Hebbal Generic Search Campaign,2024-04-21,20980178071,10000.00,26,246,INR,743.32,10.57%,28.59,3.00
Inspira Tropical Garden Brand Keywords,2024-04-21,21015668604,8100.00,0,4,INR,0.00,0.00%,0,0.00
Primus Search - 17th Feb 2024,2024-04-21,21023972292,3500.00,0,1,INR,0.00,0.00%,0,0.00
